"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7873","8. Forgot password visible","firefox","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","1912","19. Verify Candidate vacancy dropdown retains selection","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","3600","8.Verify Reset button clickable","firefox","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","10032","12. Verify search input","chromium","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","14","5.Verify Search button enabled","firefox","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","10844","5.Search using Employee Name","webkit","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","116","14.Verify Sub Unit dropdown selection","firefox","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","12218","7.Add User form validation","webkit","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","61","2.Verify employee ID accepts input","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","814","11.Verify Attendance Summary page navigation","firefox","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","495","14.Verify Cancel button returns to KPI page","chromium","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","6","2.Verify Candidates tab visible","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","7765","7. Special characters login","webkit","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","369","12.Verify Attendance Summary employee input","webkit","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
